LR2B4.0 c.N 1418
1.000000e+000	










1008.244	
1008.024	
1007.804	
1007.584	
1007.364	
1007.144	
1006.924	
1006.704	
1006.484	
1006.264	
1006.044	
1005.823	
1005.603	
1005.383	
1005.163	
1004.943	
1004.723	
1004.503	
1004.283	
1004.063	
1003.843	
1003.623	
1003.403	
1003.183	
1002.963	
1002.743	
1002.523	
1002.303	
1002.083	
1001.863	
1001.643	
1001.423	
1001.203	
1000.983	
1000.763	
1000.543	
1000.323	
1000.103	
999.883	
999.663	
999.443	
999.223	
999.003	
998.783	
998.563	
998.343	
998.123	
997.903	
997.683	
997.463	
997.243	
997.023	
996.803	
996.583	
996.363	
996.143	
995.923	
995.703	
995.483	
995.263	
995.043	
994.823	
994.603	
994.383	
994.162	
993.942	
993.722	
993.502	
993.282	
993.062	
992.842	
992.622	
992.402	
992.182	
991.962	
991.742	
991.522	
991.302	
991.082	
990.862	
990.642	
990.422	
990.202	
989.982	
989.762	
989.542	
989.322	
989.102	
988.882	
988.662	
988.442	
988.222	
988.002	
987.782	
987.562	
987.342	
987.122	
986.902	
986.682	
986.462	
986.242	
986.022	
985.802	
985.582	
985.362	
985.142	
984.922	
984.702	
984.482	
984.262	
984.042	
983.822	
983.602	
983.382	
983.162	
982.942	
982.721	
982.501	
982.281	
982.061	
981.841	
981.621	
981.401	
981.181	
980.961	
980.741	
980.521	
980.301	
980.081	
979.861	
979.641	
979.421	
979.201	
978.981	
978.761	
978.541	
978.321	
978.101	
977.881	
977.661	
977.441	
977.221	
977.001	
976.781	
976.561	
976.341	
976.121	
975.901	
975.681	
975.461	
975.241	
975.021	
974.801	
974.581	
974.361	
974.141	
973.921	
973.701	
973.481	
973.261	
973.041	
972.821	
972.601	
972.381	
972.161	
971.941	
971.721	
971.500	
971.280	
971.060	
970.840	
970.620	
970.400	
970.180	
969.960	
969.740	
969.520	
969.300	
969.080	
968.860	
968.640	
968.420	
968.200	
967.980	
967.760	
967.540	
967.320	
967.100	
966.880	
966.660	
966.440	
966.220	
966.000	
965.780	
965.567	
965.354	
965.141	
964.928	
964.715	
964.502	
964.289	
964.075	
963.862	
963.649	
963.436	
963.223	
963.010	
962.797	
962.584	
962.371	
962.158	
961.945	
961.732	
961.519	
961.306	
961.093	
960.879	
960.666	
960.453	
960.240	
960.027	
959.814	
959.601	
959.388	
959.175	
958.962	
958.749	
958.536	
958.323	
958.110	
957.896	
957.683	
957.470	
957.257	
957.044	
956.831	
956.618	
956.405	
956.192	
955.979	
955.766	
955.553	
955.340	
955.127	
954.914	
954.700	
954.487	
954.274	
954.061	
953.848	
953.635	
953.422	
953.209	
952.996	
952.783	
952.570	
952.357	
952.144	
951.931	
951.718	
951.504	
951.291	
951.078	
950.865	
950.652	
950.439	
950.226	
950.013	
949.800	
949.587	
949.374	
949.161	
948.948	
948.735	
948.522	
948.308	
948.095	
947.882	
947.669	
947.456	
947.243	
947.030	
946.817	
946.604	
946.391	
946.178	
945.965	
945.752	
945.539	
945.326	
945.112	
944.899	
944.686	
944.473	
944.260	
944.047	
943.834	
943.621	
943.408	
943.195	
942.982	
942.769	
942.556	
942.343	
942.129	
941.916	
941.703	
941.490	
941.277	
941.064	
940.851	
940.638	
940.425	
940.212	
939.999	
939.786	
939.573	
939.360	
939.147	
938.933	
938.720	
938.507	
938.294	
938.081	
937.868	
937.655	
937.442	
937.229	
937.016	
936.803	
936.590	
936.377	
936.164	
935.951	
935.737	
935.524	
935.311	
935.098	
934.885	
934.672	
934.459	
934.246	
934.033	
933.820	
933.607	
933.394	
933.181	
932.968	
932.755	
932.541	
932.328	
932.115	
931.902	
931.689	
931.476	
931.263	
931.050	
930.837	
930.624	
930.411	
930.198	
929.985	
929.772	
929.558	
929.345	
929.132	
928.919	
928.706	
928.493	
928.280	
928.067	
927.854	
927.641	
927.428	
927.215	
927.002	
926.789	
926.576	
926.362	
926.149	
925.936	
925.723	
925.510	
925.297	
925.084	
924.871	
